gene	up1	up2	up3
RPS12	NA	NA	enr3
RPS13	NA	NA	enr3
RPS15	enr1	enr2	NA
RPS15A	enr1	NA	NA
RPS2	NA	NA	enr3
RPS20	NA	enr2	enr3
RPS27	NA	NA	enr3
RPS27L	NA	enr2	NA
RPS28	enr1	enr2	NA
RPS3	NA	NA	enr3
RPS3A	enr1	enr2	enr3
RPS6	NA	NA	enr3
RPS6KA3	enr1	NA	NA
RPS7	enr1	NA	enr3
RPSA	NA	NA	enr3
RRM2	enr1	enr2	enr3
RRP7A	enr1	NA	NA
RTTN	enr1	NA	NA
RUVBL1	enr1	enr2	enr3
RUVBL2	enr1	enr2	enr3
SAE1	NA	enr2	NA
SCML2	enr1	enr2	NA
SCRIB	enr1	NA	NA
SDCBP	NA	enr2	enr3
SEC16A	enr1	NA	NA
SEC23IP	enr1	enr2	NA
SEC24A	enr1	NA	NA
SEC61A1	enr1	NA	enr3
SEC63	NA	NA	enr3
SENP3	enr1	enr2	NA
SEPT11	enr1	enr2	enr3
SEPT2	enr1	enr2	enr3
SEPT7	enr1	enr2	enr3
SEPT9	enr1	enr2	NA
SERBP1	enr1	enr2	enr3
SERPINH1	enr1	NA	NA
SETDB1	enr1	enr2	NA
SF3B3	enr1	NA	enr3
SFXN3	enr1	NA	NA
SH3GL1	enr1	enr2	NA
SH3GLB2	enr1	enr2	enr3
SIPA1L3	NA	enr2	NA
SKA3	NA	enr2	NA
SKIV2L2	enr1	enr2	NA
SLC16A1	enr1	NA	enr3
SLC1A5	enr1	NA	enr3
SLC25A1	enr1	NA	NA
SLC25A11	enr1	NA	NA
SLC25A4	enr1	enr2	NA
SLC25A6	NA	NA	enr3
SLK	enr1	enr2	enr3
SMAP1	enr1	enr2	enr3
SMARCA5	enr1	NA	enr3
SMC1A	enr1	NA	enr3
SMC2	NA	NA	enr3
SMC4	NA	NA	enr3
SMG7	enr1	enr2	NA
SMG9	enr1	enr2	NA
SMPD4	enr1	NA	NA
SNAP29	enr1	enr2	enr3
SND1	enr1	enr2	enr3
SNRNP200	NA	NA	enr3
SNRPA1	NA	enr2	NA
SNRPB	enr1	enr2	NA
SNRPD3	NA	NA	enr3
SNRPE	enr1	enr2	enr3
SNX1	enr1	enr2	enr3
SNX2	NA	NA	enr3
SPAG9	enr1	enr2	NA
SPATS2	enr1	enr2	NA
SPC24	enr1	enr2	NA
SPG20	enr1	enr2	NA
SPTBN5	NA	NA	enr3
SRP54	enr1	enr2	NA
SRP68	enr1	enr2	enr3
SRPR	enr1	NA	NA
SRPRB	enr1	enr2	NA
SSR4	enr1	NA	NA
STAT1	enr1	enr2	enr3
STAT3	enr1	enr2	enr3
STAU1	enr1	enr2	enr3
STAU2	enr1	enr2	NA
STK38	enr1	enr2	enr3
STK4	enr1	enr2	enr3
STMN1	enr1	enr2	enr3
STMN2	NA	enr2	NA
STOML2	enr1	NA	NA
STRAP	enr1	enr2	enr3
SUGT1	enr1	enr2	enr3
SURF4	enr1	NA	NA
SYAP1	enr1	enr2	NA
SYNCRIP	enr1	enr2	enr3
SYNJ1	enr1	enr2	NA
TAF7	enr1	enr2	NA
TAGLN2	enr1	enr2	enr3
TARDBP	NA	NA	enr3
TARS	NA	NA	enr3
TBC1D15	enr1	enr2	enr3
TBCB	enr1	enr2	NA
TBK1	enr1	enr2	NA
TCEB1	enr1	NA	NA
TCEB2	enr1	enr2	NA
TCHP	enr1	enr2	enr3
TDRD3	enr1	enr2	enr3
TELO2	enr1	enr2	NA
TES	enr1	enr2	NA
TFEC	enr1	NA	NA
THOC2	enr1	NA	NA
THUMPD3	enr1	NA	NA
TIMM23	enr1	enr2	NA
TIMM44	enr1	NA	enr3
TIMM50	enr1	NA	enr3
TIPRL	enr1	enr2	enr3
TJP1	enr1	enr2	enr3
TJP2	enr1	enr2	enr3
TKT	NA	NA	enr3
TLN1	enr1	enr2	enr3
TM9SF3	enr1	enr2	NA
TMEM263	NA	enr2	enr3
TMPO	enr1	enr2	enr3
TNIK	enr1	enr2	NA
TNIP1	enr1	enr2	NA
TNRC6A	enr1	NA	NA
TNRC6B	enr1	enr2	enr3
TOMM22	enr1	enr2	enr3
TOMM40	enr1	NA	enr3
TOP3B	enr1	enr2	enr3
TP53BP2	enr1	enr2	NA
TPD52L2	enr1	enr2	NA
TPR	enr1	enr2	NA
TRAP1	enr1	NA	NA
TRIM25	enr1	enr2	NA
TRIM9	enr1	enr2	NA
TRIP13	NA	enr2	NA
TRMT10C	enr1	NA	NA
TRMT112	enr1	enr2	NA
TRMT1L	enr1	enr2	NA
TRMT5	enr1	enr2	NA
TSNAX	enr1	enr2	NA
TTC28	enr1	enr2	NA
TTC37	enr1	enr2	NA
TTF2	enr1	enr2	enr3
TTK	enr1	enr2	enr3
TUBB2A	enr1	NA	NA
TWF1	enr1	enr2	NA
TXNDC9	NA	enr2	NA
TXNL1	enr1	enr2	enr3
UBA2	NA	enr2	NA
UBA52	NA	NA	enr3
UBAP2	enr1	enr2	enr3
UBAP2L	enr1	enr2	enr3
UBE2M	enr1	enr2	NA
UBE2O	enr1	enr2	NA
UBE3C	enr1	NA	NA
UBR4	enr1	enr2	NA
UFL1	enr1	NA	NA
UNC45A	enr1	enr2	NA
UNK	enr1	enr2	NA
UPF1	enr1	enr2	enr3
UQCR10	enr1	enr2	NA
USP10	enr1	enr2	enr3
USP14	enr1	enr2	NA
USP15	enr1	enr2	enr3
USP16	enr1	enr2	NA
USP24	enr1	enr2	NA
USP34	NA	NA	enr3
USP9X	enr1	enr2	NA
UTRN	enr1	enr2	NA
VCL	enr1	enr2	NA
VCPIP1	enr1	enr2	enr3
VDAC1	enr1	enr2	enr3
VDAC2	enr1	enr2	enr3
VPS33B	enr1	enr2	NA
VPS51	enr1	NA	NA
WARS	enr1	enr2	enr3
WDR11	enr1	enr2	NA
WDR44	enr1	enr2	NA
WDR45	enr1	enr2	NA
WDR62	enr1	enr2	NA
WDR83	enr1	enr2	NA
WIBG	enr1	enr2	enr3
WIPI2	enr1	enr2	enr3
WNK1	enr1	enr2	NA
WWOX	enr1	enr2	enr3
XIAP	enr1	enr2	NA
XPNPEP2	NA	NA	enr3
XPO1	enr1	NA	NA
XPOT	enr1	enr2	enr3
XRN1	enr1	enr2	enr3
YARS	enr1	enr2	enr3
YARS2	enr1	NA	NA
YTHDC2	enr1	enr2	enr3
YTHDF1	enr1	enr2	enr3
YTHDF2	enr1	enr2	enr3
YTHDF3	NA	enr2	NA
YWHAE	enr1	enr2	enr3
ZBTB33	enr1	enr2	enr3
ZC3H15	enr1	enr2	NA
ZC3H7A	enr1	enr2	NA
ZC3HAV1	enr1	enr2	enr3
ZNF146	enr1	NA	NA
ZNF185	NA	NA	enr3
ZNF598	enr1	enr2	enr3
ZNF608	enr1	enr2	NA
ZYX	NA	enr2	enr3
