gene_id	tsig
ENSG00000135441	MitoCarta
ENSG00000136010	MitoCarta
ENSG00000163626	MitoCarta
ENSG00000080819	MitoCarta
ENSG00000112992	MitoCarta
ENSG00000224877	MitoCarta
ENSG00000166896	MitoCarta
ENSG00000172992	MitoCarta
ENSG00000241468	MitoCarta
ENSG00000155380	MitoCarta
ENSG00000107819	MitoCarta
ENSG00000102910	MitoCarta
ENSG00000008311	MitoCarta
ENSG00000184047	MitoCarta
ENSG00000187581	MitoCarta
ENSG00000176894	MitoCarta
ENSG00000113492	MitoCarta
ENSG00000135423	MitoCarta
ENSG00000184831	MitoCarta
ENSG00000240303	MitoCarta
ENSG00000164241	MitoCarta
ENSG00000241935	MitoCarta
ENSG00000011295	MitoCarta
ENSG00000182768	MitoCarta
ENSG00000179152	MitoCarta
ENSG00000140905	MitoCarta
ENSG00000124523	MitoCarta
ENSG00000166123	MitoCarta
ENSG00000124593	MitoCarta
ENSG00000114023	MitoCarta
ENSG00000115657	MitoCarta
ENSG00000133315	MitoCarta
ENSG00000128311	MitoCarta
ENSG00000198804	MitoCarta
ENSG00000117640	MitoCarta
ENSG00000100445	MitoCarta
ENSG00000132837	MitoCarta
ENSG00000102078	MitoCarta
ENSG00000141391	MitoCarta
ENSG00000100372	MitoCarta
ENSG00000125611	MitoCarta
ENSG00000154174	MitoCarta
ENSG00000158793	MitoCarta
ENSG00000180185	MitoCarta
ENSG00000156026	MitoCarta
ENSG00000135929	MitoCarta
ENSG00000198763	MitoCarta
ENSG00000198886	MitoCarta
ENSG00000198786	MitoCarta
ENSG00000014641	MitoCarta
ENSG00000081791	MitoCarta
ENSG00000138399	MitoCarta
ENSG00000102738	MitoCarta
ENSG00000144908	MitoCarta
ENSG00000106246	MitoCarta
ENSG00000138029	MitoCarta
ENSG00000043514	MitoCarta
ENSG00000088766	MitoCarta
ENSG00000168237	MitoCarta
ENSG00000164933	MitoCarta
ENSG00000124608	MitoCarta
ENSG00000157036	MitoCarta
ENSG00000106153	MitoCarta
ENSG00000117009	MitoCarta
ENSG00000144040	MitoCarta
ENSG00000006744	MitoCarta
ENSG00000233276	MitoCarta
ENSG00000205560	MitoCarta
ENSG00000065833	MitoCarta
ENSG00000214253	MitoCarta
ENSG00000169230	MitoCarta
ENSG00000175564	MitoCarta
ENSG00000153291	MitoCarta
ENSG00000075303	MitoCarta
ENSG00000125648	MitoCarta
ENSG00000114735	MitoCarta
ENSG00000114120	MitoCarta
ENSG00000162600	MitoCarta
ENSG00000165046	MitoCarta
ENSG00000157379	MitoCarta
ENSG00000148175	MitoCarta
ENSG00000138382	MitoCarta
ENSG00000175806	MitoCarta
ENSG00000167799	MitoCarta
ENSG00000163864	MitoCarta
ENSG00000144659	MitoCarta
ENSG00000254858	MitoCarta
ENSG00000131473	MitoCarta
ENSG00000173208	MitoCarta
ENSG00000160688	MitoCarta
ENSG00000144182	MitoCarta
ENSG00000133943	MitoCarta
ENSG00000100889	MitoCarta
ENSG00000152620	MitoCarta
ENSG00000159399	MitoCarta
ENSG00000128309	MitoCarta
ENSG00000166321	MitoCarta
ENSG00000132142	MitoCarta
ENSG00000183044	MitoCarta
ENSG00000134240	MitoCarta
ENSG00000112294	MitoCarta
ENSG00000223572	MitoCarta
ENSG00000241878	MitoCarta
ENSG00000065518	MitoCarta
ENSG00000127540	MitoCarta
ENSG00000035141	MitoCarta
ENSG00000175768	MitoCarta
ENSG00000115317	MitoCarta
ENSG00000105220	MitoCarta
ENSG00000125356	MitoCarta
ENSG00000198727	MitoCarta
ENSG00000143774	MitoCarta
ENSG00000180902	MitoCarta
ENSG00000125741	MitoCarta
ENSG00000198074	MitoCarta
ENSG00000107537	MitoCarta
ENSG00000164182	MitoCarta
ENSG00000130159	MitoCarta
ENSG00000175193	MitoCarta
ENSG00000198015	MitoCarta
ENSG00000110011	MitoCarta
ENSG00000217930	MitoCarta
ENSG00000072210	MitoCarta
ENSG00000164398	MitoCarta
ENSG00000156521	MitoCarta
ENSG00000124532	MitoCarta
ENSG00000144827	MitoCarta
ENSG00000111911	MitoCarta
ENSG00000101417	MitoCarta
ENSG00000128694	MitoCarta
ENSG00000164978	MitoCarta
ENSG00000103018	MitoCarta
ENSG00000132463	MitoCarta
ENSG00000203624	MitoCarta
ENSG00000176410	MitoCarta
ENSG00000121691	MitoCarta
ENSG00000114956	MitoCarta
ENSG00000123130	MitoCarta
ENSG00000154930	MitoCarta
ENSG00000135002	MitoCarta
ENSG00000084090	MitoCarta
ENSG00000111666	MitoCarta
ENSG00000228253	MitoCarta
ENSG00000113845	MitoCarta
ENSG00000166118	MitoCarta
ENSG00000109854	MitoCarta
ENSG00000053371	MitoCarta
ENSG00000128951	MitoCarta
ENSG00000007202	MitoCarta
ENSG00000198938	MitoCarta
ENSG00000109016	MitoCarta
ENSG00000120662	MitoCarta
ENSG00000161558	MitoCarta
ENSG00000205309	MitoCarta
ENSG00000126858	MitoCarta
ENSG00000103202	MitoCarta
ENSG00000136371	MitoCarta
ENSG00000142444	MitoCarta
ENSG00000108439	MitoCarta
ENSG00000138413	MitoCarta
ENSG00000165487	MitoCarta
ENSG00000132570	MitoCarta
ENSG00000130348	MitoCarta
ENSG00000063761	MitoCarta
ENSG00000117592	MitoCarta
ENSG00000163931	MitoCarta
ENSG00000184117	MitoCarta
ENSG00000106105	MitoCarta
ENSG00000183747	MitoCarta
ENSG00000171612	MitoCarta
ENSG00000169084	MitoCarta
ENSG00000232859	MitoCarta
ENSG00000169228	MitoCarta
ENSG00000162396	MitoCarta
ENSG00000172590	MitoCarta
ENSG00000177192	MitoCarta
ENSG00000125166	MitoCarta
ENSG00000213995	MitoCarta
ENSG00000198840	MitoCarta
ENSG00000110455	MitoCarta
ENSG00000141378	MitoCarta
ENSG00000087157	MitoCarta
ENSG00000164830	MitoCarta
ENSG00000143353	MitoCarta
ENSG00000177692	MitoCarta
ENSG00000148834	MitoCarta
ENSG00000136877	MitoCarta
ENSG00000105518	MitoCarta
ENSG00000176274	MitoCarta
ENSG00000183773	MitoCarta
ENSG00000008394	MitoCarta
ENSG00000179869	MitoCarta
ENSG00000242114	MitoCarta
ENSG00000198211	MitoCarta
ENSG00000181924	MitoCarta
ENSG00000196290	MitoCarta
ENSG00000169972	MitoCarta
ENSG00000139410	MitoCarta
ENSG00000087088	MitoCarta
ENSG00000088888	MitoCarta
ENSG00000165792	MitoCarta
ENSG00000076555	MitoCarta
ENSG00000081181	MitoCarta
ENSG00000107951	MitoCarta
ENSG00000164051	MitoCarta
ENSG00000175600	MitoCarta
ENSG00000087470	MitoCarta
ENSG00000078618	MitoCarta
ENSG00000171204	MitoCarta
ENSG00000117481	MitoCarta
ENSG00000111058	MitoCarta
ENSG00000124098	MitoCarta
ENSG00000101546	MitoCarta
ENSG00000145354	MitoCarta
ENSG00000172878	MitoCarta
ENSG00000168710	MitoCarta
ENSG00000136783	MitoCarta
ENSG00000186205	MitoCarta
ENSG00000069509	MitoCarta
ENSG00000151726	MitoCarta
ENSG00000203667	MitoCarta
ENSG00000103160	MitoCarta
ENSG00000159231	MitoCarta
ENSG00000122085	MitoCarta
ENSG00000213965	MitoCarta
ENSG00000013583	MitoCarta
ENSG00000110536	MitoCarta
ENSG00000247077	MitoCarta
ENSG00000168393	MitoCarta
ENSG00000065427	MitoCarta
ENSG00000147465	MitoCarta
ENSG00000205981	MitoCarta
ENSG00000256269	MitoCarta
ENSG00000036473	MitoCarta
ENSG00000115944	MitoCarta
ENSG00000156469	MitoCarta
ENSG00000156398	MitoCarta
ENSG00000169710	MitoCarta
