distance	id	tc	localization_cat	tc_region	hval_cat
10	cytosolic;utr3;hval_midhi	0.0895346755007546	cytosolic	utr3	hval_midhi
11	cytosolic;utr3;hval_midhi	0.135581080044	cytosolic	utr3	hval_midhi
12	cytosolic;utr3;hval_midhi	0.138139213629736	cytosolic	utr3	hval_midhi
13	cytosolic;utr3;hval_midhi	0.0434882709575094	cytosolic	utr3	hval_midhi
14	cytosolic;utr3;hval_midhi	0.00767440075720755	cytosolic	utr3	hval_midhi
15	cytosolic;utr3;hval_midhi	0.0972090762579623	cytosolic	utr3	hval_midhi
16	cytosolic;utr3;hval_midhi	0.0588370724719245	cytosolic	utr3	hval_midhi
17	cytosolic;utr3;hval_midhi	0.0460464045432451	cytosolic	utr3	hval_midhi
18	cytosolic;utr3;hval_midhi	0.0972090762579622	cytosolic	utr3	hval_midhi
19	cytosolic;utr3;hval_midhi	0.0409301373717736	cytosolic	utr3	hval_midhi
20	cytosolic;utr3;hval_midhi	0.0127906679286792	cytosolic	utr3	hval_midhi
21	cytosolic;utr3;hval_midhi	0.0153488015144151	cytosolic	utr3	hval_midhi
22	cytosolic;utr3;hval_midhi	0.0434882709575093	cytosolic	utr3	hval_midhi
23	cytosolic;utr3;hval_midhi	0.0741858739863397	cytosolic	utr3	hval_midhi
24	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
25	cytosolic;utr3;hval_midhi	0.0434882709575094	cytosolic	utr3	hval_midhi
26	cytosolic;utr3;hval_midhi	0.0179069351001509	cytosolic	utr3	hval_midhi
27	cytosolic;utr3;hval_midhi	0.0153488015144151	cytosolic	utr3	hval_midhi
28	cytosolic;utr3;hval_midhi	0.0204650686858868	cytosolic	utr3	hval_midhi
29	cytosolic;utr3;hval_midhi	0.0306976030288302	cytosolic	utr3	hval_midhi
30	cytosolic;utr3;hval_midhi	0.0511626717147169	cytosolic	utr3	hval_midhi
31	cytosolic;utr3;hval_midhi	0.0127906679286792	cytosolic	utr3	hval_midhi
32	cytosolic;utr3;hval_midhi	0.00767440075720755	cytosolic	utr3	hval_midhi
33	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
34	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
35	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
36	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
37	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
38	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
39	cytosolic;utr3;hval_midhi	0.0179069351001509	cytosolic	utr3	hval_midhi
40	cytosolic;utr3;hval_midhi	0	cytosolic	utr3	hval_midhi
-40	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-39	cytosolic;utr3;hval_midlo	0.0716277404006036	cytosolic	utr3	hval_midlo
-38	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-37	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-36	cytosolic;utr3;hval_midlo	0.0255813358573585	cytosolic	utr3	hval_midlo
-35	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-34	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-33	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-32	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-31	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-30	cytosolic;utr3;hval_midlo	0.0102325343429434	cytosolic	utr3	hval_midlo
-29	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-28	cytosolic;utr3;hval_midlo	0.0741858739863396	cytosolic	utr3	hval_midlo
-27	cytosolic;utr3;hval_midlo	0.00767440075720755	cytosolic	utr3	hval_midlo
-26	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-25	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-24	cytosolic;utr3;hval_midlo	0.00767440075720755	cytosolic	utr3	hval_midlo
-23	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-22	cytosolic;utr3;hval_midlo	0.00767440075720755	cytosolic	utr3	hval_midlo
-21	cytosolic;utr3;hval_midlo	0.0153488015144151	cytosolic	utr3	hval_midlo
-20	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-19	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-18	cytosolic;utr3;hval_midlo	0.0306976030288302	cytosolic	utr3	hval_midlo
-17	cytosolic;utr3;hval_midlo	0.125348545701056	cytosolic	utr3	hval_midlo
-16	cytosolic;utr3;hval_midlo	0.0332557366145659	cytosolic	utr3	hval_midlo
-15	cytosolic;utr3;hval_midlo	0.0383720037860377	cytosolic	utr3	hval_midlo
-14	cytosolic;utr3;hval_midlo	0.0793021411578114	cytosolic	utr3	hval_midlo
-13	cytosolic;utr3;hval_midlo	0.0153488015144151	cytosolic	utr3	hval_midlo
-12	cytosolic;utr3;hval_midlo	0.0281394694430943	cytosolic	utr3	hval_midlo
-11	cytosolic;utr3;hval_midlo	0.0306976030288302	cytosolic	utr3	hval_midlo
-10	cytosolic;utr3;hval_midlo	0.0179069351001509	cytosolic	utr3	hval_midlo
-9	cytosolic;utr3;hval_midlo	0.0741858739863396	cytosolic	utr3	hval_midlo
-8	cytosolic;utr3;hval_midlo	0.00767440075720755	cytosolic	utr3	hval_midlo
-7	cytosolic;utr3;hval_midlo	0.0306976030288302	cytosolic	utr3	hval_midlo
-6	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
-5	cytosolic;utr3;hval_midlo	0.0588370724719245	cytosolic	utr3	hval_midlo
-4	cytosolic;utr3;hval_midlo	0.0204650686858868	cytosolic	utr3	hval_midlo
-3	cytosolic;utr3;hval_midlo	0.0486045381289811	cytosolic	utr3	hval_midlo
-2	cytosolic;utr3;hval_midlo	0.0920928090864905	cytosolic	utr3	hval_midlo
-1	cytosolic;utr3;hval_midlo	0.0716277404006038	cytosolic	utr3	hval_midlo
0	cytosolic;utr3;hval_midlo	1.27139239211072	cytosolic	utr3	hval_midlo
1	cytosolic;utr3;hval_midlo	0.125348545701056	cytosolic	utr3	hval_midlo
2	cytosolic;utr3;hval_midlo	0.0486045381289811	cytosolic	utr3	hval_midlo
3	cytosolic;utr3;hval_midlo	0.0741858739863396	cytosolic	utr3	hval_midlo
4	cytosolic;utr3;hval_midlo	0.0511626717147168	cytosolic	utr3	hval_midlo
5	cytosolic;utr3;hval_midlo	0.0869765419150188	cytosolic	utr3	hval_midlo
6	cytosolic;utr3;hval_midlo	0.0486045381289811	cytosolic	utr3	hval_midlo
7	cytosolic;utr3;hval_midlo	0.0127906679286792	cytosolic	utr3	hval_midlo
8	cytosolic;utr3;hval_midlo	0.0434882709575094	cytosolic	utr3	hval_midlo
9	cytosolic;utr3;hval_midlo	0.0716277404006037	cytosolic	utr3	hval_midlo
10	cytosolic;utr3;hval_midlo	0.0102325343429434	cytosolic	utr3	hval_midlo
11	cytosolic;utr3;hval_midlo	0.00767440075720755	cytosolic	utr3	hval_midlo
12	cytosolic;utr3;hval_midlo	0.0102325343429434	cytosolic	utr3	hval_midlo
13	cytosolic;utr3;hval_midlo	0.00767440075720755	cytosolic	utr3	hval_midlo
14	cytosolic;utr3;hval_midlo	0.0102325343429434	cytosolic	utr3	hval_midlo
15	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
16	cytosolic;utr3;hval_midlo	0.0767440075720754	cytosolic	utr3	hval_midlo
17	cytosolic;utr3;hval_midlo	0.0716277404006037	cytosolic	utr3	hval_midlo
18	cytosolic;utr3;hval_midlo	0.0204650686858868	cytosolic	utr3	hval_midlo
19	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
20	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
21	cytosolic;utr3;hval_midlo	0.0434882709575095	cytosolic	utr3	hval_midlo
22	cytosolic;utr3;hval_midlo	0.0255813358573585	cytosolic	utr3	hval_midlo
23	cytosolic;utr3;hval_midlo	0.0127906679286792	cytosolic	utr3	hval_midlo
24	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
25	cytosolic;utr3;hval_midlo	0.00767440075720755	cytosolic	utr3	hval_midlo
26	cytosolic;utr3;hval_midlo	0	cytosolic	utr3	hval_midlo
